 

stn;time;tre200h0;hns000hs;rre150h0;ure200h0;hto000hs;fu3010h0
STG;2018011217;0.9;-;0.0;93.7;-;6.1
STG;2018011218;0.7;-;0.0;94.2;-;4.3
STG;2018011219;0.6;-;0.0;94.4;-;3.6
STG;2018011220;0.5;-;0.0;93.8;-;2.2
STG;2018011221;0.5;-;0.0;94.6;-;2.5
STG;2018011222;0.4;-;0.0;95.3;-;3.2
STG;2018011223;0.3;-;0.0;94.1;-;2.9
STG;2018011300;0.2;-;0.0;94.8;-;4.0
STG;2018011301;-0.1;-;0.0;94.6;-;3.6
STG;2018011302;-0.2;-;0.0;95.0;-;3.2
STG;2018011303;-0.4;-;0.0;95.1;-;4.3
STG;2018011304;-0.5;-;0.0;93.3;-;1.1
STG;2018011305;-0.6;0;0.0;93.3;0;1.4
STG;2018011306;-0.6;-;0.0;91.9;-;1.1
STG;2018011307;-0.6;-;0.0;91.9;-;0.7
STG;2018011308;-0.5;-;0.0;91.2;-;2.5
STG;2018011309;-0.4;-;0.0;92.0;-;0.7
STG;2018011310;0.0;-;0.0;90.3;-;2.9
STG;2018011311;0.2;-;0.0;88.9;-;4.0
STG;2018011312;0.4;-;0.0;87.9;-;3.2
STG;2018011313;0.4;-;0.0;86.8;-;3.2
STG;2018011314;0.5;-;0.0;84.5;-;3.6
STG;2018011315;0.4;-;0.0;82.2;-;3.2
STG;2018011316;0.2;-;0.0;84.2;-;5.0
STG;2018011317;0.0;-;0.0;85.8;-;1.4
STG;2018011318;-0.6;-;0.0;88.5;-;2.5
STG;2018011319;-1.1;-;0.0;87.4;-;3.2
STG;2018011320;-1.4;-;0.0;86.5;-;2.9
STG;2018011321;-1.6;-;0.0;86.7;-;2.9
STG;2018011322;-1.8;-;0.0;88.2;-;3.6
STG;2018011323;-1.8;-;0.0;88.5;-;3.6
STG;2018011400;-2.3;-;0.0;90.0;-;1.8
STG;2018011401;-2.3;-;0.0;90.1;-;2.2
STG;2018011402;-2.2;-;0.0;92.1;-;1.4
STG;2018011403;-2.8;-;0.0;93.0;-;1.8
STG;2018011404;-2.8;-;0.0;93.6;-;1.8
STG;2018011405;-3.3;0;0.0;94.5;0;0.7
STG;2018011406;-2.9;-;0.0;97.5;-;2.9
STG;2018011407;-2.9;-;0.0;100.0;-;4.0
STG;2018011408;-3.0;-;0.0;99.0;-;4.0
STG;2018011409;-2.7;-;0.0;96.9;-;5.8
STG;2018011410;-2.1;-;0.0;95.0;-;4.7
STG;2018011411;-1.8;-;0.0;92.4;-;5.4
STG;2018011412;-1.4;-;0.0;89.1;-;7.2
STG;2018011413;-1.3;-;0.0;89.2;-;4.7
STG;2018011414;-1.4;-;0.0;90.7;-;4.0
STG;2018011415;-1.3;-;0.0;88.2;-;4.0
STG;2018011416;-1.5;-;0.0;88.1;-;4.3
STG;2018011417;-1.7;-;0.0;87.3;-;1.8
STG;2018011418;-1.9;-;0.0;88.8;-;4.0
STG;2018011419;-2.1;-;0.0;90.6;-;6.1
STG;2018011420;-2.4;-;0.0;91.1;-;4.0
STG;2018011421;-2.6;-;0.0;92.1;-;4.3
STG;2018011422;-2.7;-;0.0;90.6;-;1.8
STG;2018011423;-2.5;-;0.0;91.5;-;2.2
STG;2018011500;-2.7;-;0.0;92.6;-;3.2
STG;2018011501;-3.5;-;0.0;95.0;-;2.9
STG;2018011502;-3.9;-;0.0;96.9;-;3.6
STG;2018011503;-4.3;-;0.0;97.6;-;2.9
STG;2018011504;-4.8;-;0.0;97.1;-;1.8
STG;2018011505;-4.8;0;0.0;97.9;0;2.2
STG;2018011506;-4.8;-;0.0;94.3;-;1.8
STG;2018011507;-4.6;-;0.0;94.1;-;2.2
STG;2018011508;-4.0;-;0.0;92.4;-;4.0
STG;2018011509;-2.8;-;0.0;87.8;-;4.0
STG;2018011510;-0.5;-;0.0;81.8;-;2.9
STG;2018011511;1.7;-;0.0;76.1;-;3.6
STG;2018011512;1.1;-;0.0;83.2;-;2.2
STG;2018011513;2.5;-;0.0;77.1;-;1.4
STG;2018011514;1.5;-;0.0;85.3;-;2.2
STG;2018011515;2.8;-;0.0;69.0;-;3.2
STG;2018011516;3.2;-;0.0;55.2;-;2.2
STG;2018011517;2.5;-;0.0;58.2;-;2.5
STG;2018011518;1.7;-;0.0;63.2;-;4.0
STG;2018011519;2.2;-;0.0;60.6;-;10.4
STG;2018011520;3.3;-;0.0;49.3;-;12.2
